execution_ms,period_ms,control loop iteration
0.155777,10.0291,1
0.051232,9.98969,2
0.008192,9.98797,3
0.005536,10.0005,4
0.004704,9.99933,5
0.004512,9.99901,6
0.00464,9.99942,7
0.004416,9.99952,8
0.004384,10.0001,9
0.004512,10,10
0.004416,9.9999,11
0.004544,10.0001,12
3.83999,10.7469,13
0.044832,9.27676,14
0.044416,9.99776,15
0.010976,9.98246,16
0.012608,10.001,17
0.010144,9.99894,18
0.0088,9.99882,19
0.007744,9.99888,20
0.00784,9.99955,21
0.007648,9.99971,22
0.007616,10.0006,23
0.019488,10.0052,24
0.036737,10.0129,25
0.04528,10.0112,26
0.052672,9.97993,27
0.030944,9.99619,28
0.013984,9.99498,29
0.012896,10.0024,30
0.045952,10.0163,31
0.098656,12.7432,32
0.070081,7.26513,33
0.054848,9.9815,34
0.887462,10.0006,35
0.285794,9.9921,36
0.088224,10.01,37
0.068513,9.99773,38
0.060352,10.0003,39
0.059617,9.99929,40
0.055648,9.99891,41
0.054816,10.0006,42
0.05664,9.9991,43
0.051232,9.99981,44
0.050112,9.99971,45
0.050817,9.99977,46
0.051809,10.0011,47
0.051744,9.99917,48
0.05024,10.0011,49
0.0512,10.004,50
0.048416,9.99513,51
0.051104,10.0047,52
0.049857,9.99606,53
0.048961,9.99897,54
0.048512,10.0063,55
0.047104,9.99837,56
0.048384,10.0006,57
0.049216,9.99789,58
0.047488,10.0018,59
0.041441,9.99949,60
0.050241,9.99961,61
0.047296,9.99491,62
0.04448,10.0054,63
0.044096,9.99497,64
0.04768,9.99913,65
0.044448,10.0058,66
0.048321,9.99459,67
0.049056,10.0056,68
0.04208,9.99465,69
0.04624,10.0006,70
0.045472,9.99843,71
0.049376,10.0025,72
0.046977,10.0043,73
0.044961,9.99923,74
0.049952,10.0003,75
0.052832,9.99984,76
0.049568,9.99453,77
0.049824,10.005,78
0.049408,9.99651,79
0.051841,10.0008,80
0.047489,9.99984,81
0.048512,10.0036,82
0.048992,10.0003,83
0.048256,9.99987,84
0.049728,9.99305,85
0.050208,10.0065,86
0.046177,9.99987,87
0.052257,10.0003,88
0.04704,9.99293,89
0.044928,10.0017,90
0.048128,9.99888,91
0.037984,9.99981,92
0.0488,10.007,93
0.049409,9.99481,94
0.044225,10.0018,95
0.046592,10.0031,96
0.046784,9.99731,97
0.051296,10.003,98
0.049568,9.99997,99
0.045472,9.99977,100
0.050273,10.0003,101
0.050657,9.99542,102
0.056032,9.99974,103
0.060096,10.0039,104
0.043968,9.99577,105
0.046688,10.0006,106
0.118209,10.0187,107
0.079041,9.98048,108
0.142177,10.1984,109
0.321954,9.80297,110
0.12,9.99392,111
0.079072,10.0016,112
0.065344,10.0051,113
0.057505,9.99811,114
0.058977,9.99907,115
0.057889,9.9999,116
0.059264,10.0029,117
0.059328,9.9967,118
0.058944,10.0006,119
0.057088,10.0002,120
0.059009,10.0053,121
0.057857,9.99721,122
0.060608,9.9992,123
0.055808,9.9975,124
0.050304,10.0011,125
0.057216,9.99981,126
0.058432,10.0006,127
0.059521,9.99913,128
0.060513,10.0065,129
0.05744,9.99353,130
0.05984,10.0007,131
0.060896,9.99933,132
0.056064,9.99945,133
0.057216,10.0006,134
0.053921,9.99901,135
0.059457,10.005,136
0.05856,9.99616,137
0.05616,10.0034,138
0.056576,9.99721,139
0.0584,10.0006,140
0.056288,10.0014,141
0.056833,9.99808,142
0.059232,10.0003,143
0.058048,9.99801,144
0.059137,10.0031,145
0.058177,9.99837,146
0.05568,9.99961,147
0.055712,10.0002,148
0.058209,10.0002,149
0.058976,9.99981,150
0.056448,9.99968,151
0.056641,9.99987,152
0.058464,9.99993,153
0.05728,9.99942,154
0.056161,10.0001,155
0.056032,9.99949,156
0.059392,10.0003,157
0.056288,10.001,158
0.055585,9.99862,159
0.057888,10.0033,160
0.057088,9.99766,161
0.056321,9.9992,162
0.055232,10.0012,163
0.056512,9.99977,164
0.057441,9.99964,165
0.0568,9.99987,166
0.058144,9.99987,167
0.056096,10.0038,168
0.056993,9.99766,169
0.056896,10,170
0.056992,9.99827,171
0.057633,10.0014,172
0.057216,9.99929,173
0.05504,9.9991,174
0.057761,10.0003,175
0.055264,10.0003,176
0.058528,10.0003,177
0.060865,9.99964,178
0.058273,10.0004,179
0.055616,9.99897,180
0.056992,10.004,181
0.057537,9.99606,182
0.057536,9.99971,183
0.055008,10.0003,184
0.059041,10.0005,185
0.05536,9.99933,186
0.057568,9.99971,187
0.057633,10.0016,188
0.058336,9.99913,189
0.056928,10.0048,190
0.058112,9.99955,191
0.055777,9.99741,192
0.058464,9.99782,193
0.05728,9.99981,194
0.055649,10.0013,195
0.054496,9.99939,196
0.058784,10.0006,197
0.057249,9.99936,198
0.05696,9.99952,199
0.054528,9.99965,200
0.055553,10,201
0.05504,10.0003,202
0.057376,10.0003,203
0.059232,10.0003,204
0.055905,9.99907,205
0.056384,10.001,206
0.05776,9.99939,207
0.060705,10.0045,208
0.05616,9.99977,209
0.057632,9.99795,210
0.058881,9.99763,211
0.056096,10.0009,212
0.058752,9.99881,213
0.058049,10.0003,214
0.054817,10.0009,215
0.055744,10.0004,216
0.057344,9.9992,217
0.056257,10.0001,218
0.05536,10.001,219
0.057376,9.99872,220
0.059169,9.99952,221
0.056608,10.0003,222
0.057888,10.0006,223
0.056481,10.0035,224
0.056705,9.9975,225
0.056064,10,226
0.057792,9.99987,227
0.056161,9.99939,228
0.056064,10.0018,229
0.05808,9.99977,230
0.055841,9.99907,231
0.062272,9.99993,232
0.060128,10.0012,233
0.057409,9.9992,234
0.05712,9.99926,235
0.056672,10.0017,236
0.05792,9.99958,237
0.059265,10.0013,238
0.053632,9.99664,239
0.056992,10.0005,240
0.056097,9.99936,241
0.056128,9.99913,242
0.057057,9.99916,243
0.058048,10.0034,244
0.05424,9.99869,245
0.057152,10.0039,246
0.057665,9.99779,247
0.056864,9.99878,248
0.057376,10.0019,249
0.056032,9.9976,250
0.058753,10.0002,251
0.056064,10.0005,252
0.055936,9.99878,253
0.05472,9.99936,254
0.056385,10.0005,255
0.0568,10.0007,256
0.056832,10.0022,257
0.05504,9.99753,258
0.054689,9.99981,259
0.054048,10.0001,260
0.055072,9.99933,261
0.05472,9.99996,262
0.056961,10.0007,263
0.05568,10.0003,264
0.058624,10.0039,265
0.056768,9.99744,266
0.056225,9.99923,267
0.056832,10.0015,268
0.052768,9.99817,269
0.057024,9.99968,270
0.056609,10.0013,271
0.054784,9.99856,272
0.05664,9.99987,273
0.057056,10.0005,274
0.056289,10.0015,275
0.054976,9.99945,276
0.053312,9.99916,277
0.057568,9.99971,278
0.055777,9.99936,279
0.056513,10.0013,280
0.054816,9.99885,281
0.055072,10.0003,282
0.055489,10.0004,283
0.054593,9.99996,284
0.05328,9.9999,285
0.054016,9.99901,286
0.055905,10.0008,287
0.059233,10.0023,288
0.056192,9.99798,289
0.05616,10.0024,290
0.055873,9.99785,291
0.054977,9.99968,292
0.056832,10.006,293
0.057664,9.99411,294
0.055905,9.99984,295
0.057761,10.0003,296
0.055296,9.99917,297
0.053888,10,298
0.055809,10.0005,299
0.057281,10.0007,300
0.054848,9.99926,301
0.057152,10.0009,302
0.055553,9.99916,303
0.055553,10.0008,304
0.056224,9.99971,305
0.057728,10,306
0.055233,9.99987,307
0.055777,9.99888,308
0.053984,10.0008,309
0.056736,10.0002,310
0.058977,9.99961,311
0.055873,9.99913,312
0.053888,9.99949,313
0.055456,10.001,314
0.055584,10.0001,315
0.050689,9.99888,316
0.056608,10.0006,317
0.056512,10.0003,318
0.05776,10.0006,319
0.055681,9.99948,320
0.05488,10.0008,321
0.057056,9.99977,322
0.059073,10.0056,323
0.056417,9.99449,324
0.053696,9.99993,325
0.057408,10.0029,326
0.05712,9.99712,327
0.056289,10,328
0.05792,10.0061,329
0.05552,9.99424,330
0.057536,10.0028,331
0.058337,10,332
0.054464,9.99632,333
0.056096,10.0035,334
0.054624,9.99657,335
0.058049,10.0005,336
0.05968,10.0002,337
0.055616,9.99942,338
0.056224,10,339
0.055617,9.99833,340
0.054816,10.0002,341
0.049696,10.0013,342
0.056256,9.99894,343
0.053824,9.99984,344
0.056545,10.0015,345
0.058561,10.0039,346
0.056992,9.99558,347
0.050464,9.9991,348
0.054176,10.0004,349
0.049857,10.0012,350
0.057152,10.0018,351
0.05712,9.99846,352
0.055296,9.99862,353
0.055808,10.0006,354
0.051937,10.0003,355
0.059296,10.1566,356
0.087585,10.5966,357
0.164193,9.26271,358
0.111489,9.98377,359
0.201794,10.0232,360
0.164257,9.98947,361
1.33521,9.99756,362
0.224641,9.98755,363
0.137888,10.0061,364
0.109377,10.0034,365
0.102657,9.99603,366
0.09664,10,367
0.079808,9.99862,368
0.083777,9.99993,369
0.080001,10.0001,370
0.080865,10.002,371
0.07984,9.99884,372
0.079072,9.99974,373
0.077761,9.9998,374
0.082945,9.99894,375
0.078529,9.99948,376
0.081408,10.0024,377
0.08208,9.99933,378
0.080065,9.99932,379
0.081441,10.001,380
0.080673,10.0001,381
0.08048,9.99872,382
0.081824,10.0014,383
0.078753,9.9974,384
0.081057,10.0015,385
0.080961,10.0002,386
0.078848,10.0004,387
0.078496,9.99843,388
0.081921,10.0006,389
0.082145,10.0015,390
0.079809,9.99984,391
0.079904,9.99913,392
0.07856,10.0006,393
0.081889,9.99894,394
0.081601,9.99964,395
0.082049,10.0003,396
0.081344,10.0029,397
0.082336,9.99849,398
0.079489,10.0022,399
0.079361,9.99795,400
0.081281,9.99945,401
0.081792,9.99849,402
0.082784,10.0005,403
0.081281,10.0005,404
0.082753,9.99923,405
0.075072,10.0004,406
0.08,9.9992,407
0.076128,9.99981,408
0.083617,10.0063,409
0.079553,9.99437,410
0.081249,10.001,411
0.077792,10.0011,412
0.07824,9.99836,413
0.082913,10.0033,414
0.077281,9.99859,415
0.077856,9.99737,416
0.078816,9.99945,417
0.07936,10.0022,418
0.080065,10.0012,419
0.079425,9.99753,420
0.080512,10.0004,421
0.08016,9.99968,422
0.07888,9.99984,423
0.080577,9.99977,424
0.079905,9.99952,425
0.079104,10.0001,426
0.07776,10.0003,427
0.080928,10.0015,428
0.081857,10.0021,429
0.078241,9.99933,430
0.082592,9.99865,431
0.081856,9.99856,432
0.080128,9.99942,433
0.080065,9.99904,434
0.080545,10.0051,435
0.077088,9.9983,436
0.082048,9.99859,437
0.079616,10.0005,438
0.077281,9.99936,439
0.077889,10.0005,440
0.07968,9.99971,441
0.082304,10.0011,442
0.081313,9.99756,443
0.07984,10.0034,444
0.079137,9.99779,445
0.073409,10.0004,446
0.07648,9.99869,447
0.076545,10.0003,448
0.078656,9.99974,449
0.081056,10.0011,450
0.080993,10.0003,451
0.079552,9.99904,452
0.081248,9.9992,453
0.079361,10.0014,454
0.07792,9.99875,455
0.08,10.0035,456
0.080001,9.99648,457
0.07984,10.0005,458
0.075616,9.99881,459
0.079425,10.0007,460
0.078944,10.0012,461
0.076577,9.99984,462
0.078081,9.99865,463
0.079136,10.0007,464
0.077313,10.0007,465
0.078432,10,466
0.079808,9.99961,467
0.080481,10.0001,468
0.07792,9.99933,469
0.078656,10.0012,470
0.077441,9.99952,471
0.07792,10.0006,472
0.081408,9.99974,473
0.077377,10.0014,474
0.080288,9.99798,475
0.077792,9.99923,476
0.078561,10.0004,477
