execution_ms,period_ms,control loop iteration
0.196957,10.0401,1
0.059424,9.99527,2
0.050111,10.0004,3
4.84298,17.5841,4
0.01152,4.86442,5
0.069919,7.55629,6
0.061055,10.0059,7
0.056543,9.9896,8
0.018975,9.98532,9
0.01536,9.99792,10
0.014208,9.99485,11
0.013824,9.99831,12
0.013567,9.9992,13
0.013728,9.99978,14
0.013856,10.001,15
0.013888,9.99978,16
0.013536,9.99997,17
0.013984,9.99991,18
0.013856,9.99949,19
0.0136,10.0011,20
0.037376,10.0074,21
0.038624,10.8397,22
0.044927,9.17694,23
0.045728,10.0052,24
0.050335,9.99588,25
0.052351,10.003,26
0.079007,9.98125,27
0.052896,9.99776,28
0.028543,9.99722,29
0.022976,10.0002,30
0.066463,10.0291,31
0.073471,9.99805,32
0.095135,10.0049,33
0.089982,9.98989,34
0.102143,15.5907,35
0.078079,4.40667,36
0.067871,9.99383,37
1.42261,9.99671,38
0.414875,9.99117,39
0.156926,10.0109,40
0.136382,10.0015,41
0.127295,10.0132,42
0.117214,9.99396,43
0.090271,9.98989,44
0.094206,9.99952,45
0.099231,10.0032,46
0.101119,9.9928,47
0.104575,10.0161,48
0.094879,10.0013,49
0.099711,9.99949,50
0.113758,9.99514,51
0.099647,9.98916,52
0.103263,10.0144,53
0.09907,10.0045,54
0.095679,9.99991,55
0.111679,9.98666,56
0.098559,9.99911,57
0.096415,9.99943,58
0.10147,9.99933,59
0.079935,9.99565,60
0.095967,10.0154,61
0.082367,9.98714,62
0.097055,9.9977,63
0.091583,9.99975,64
0.096511,9.99741,65
0.098495,10.0004,66
0.097823,10.0189,67
0.089535,9.98666,68
0.102111,10.0051,69
0.100446,9.99376,70
0.090047,9.99642,71
0.096991,10.0033,72
0.088223,9.99876,73
0.096671,10.0015,74
0.100639,9.99812,75
0.103326,10.0011,76
0.096031,9.99994,77
0.099167,9.99984,78
0.100447,9.99965,79
0.090847,10.0002,80
0.100574,10.0002,81
0.095423,9.99904,82
0.098591,10.0015,83
0.099838,10.0009,84
0.100191,9.99888,85
0.101215,9.99994,86
0.100222,10.0001,87
0.097471,9.99927,88
0.098719,10.0045,89
0.101918,10.0101,90
0.095935,9.98768,91
0.090879,9.99933,92
0.100863,9.99991,93
0.096415,10,94
0.091166,10.0006,95
0.098879,9.99901,96
0.097375,9.99946,97
0.104063,10.0161,98
0.10867,9.99914,99
0.104639,10.0008,100
0.10323,9.98631,101
0.096575,9.9984,102
0.096799,10.0005,103
0.097023,10.0005,104
0.101791,9.99994,105
0.106655,10.015,106
0.105822,9.99844,107
0.104639,9.99975,108
0.099551,10.0017,109
0.105407,9.98736,110
0.107423,10.0081,111
0.097343,10.0032,112
0.104575,9.99306,113
0.093951,10.0078,114
0.103646,10.0022,115
0.141406,9.99335,116
0.154622,10.009,117
0.153822,9.9961,118
0.214877,10.0102,119
0.161278,9.97296,120
0.632984,10.0128,121
0.235133,9.98224,122
0.16355,10.016,123
0.127486,9.99476,124
0.143102,10.0079,125
0.118398,9.98778,126
0.118111,10.0024,127
0.121791,9.99949,128
0.11763,10.0102,129
0.122302,10.0034,130
0.119999,10.0009,131
0.12147,9.98532,132
0.12227,10.0133,133
0.135295,10.0048,134
0.122462,9.99559,135
0.123615,10.0002,136
0.132286,9.99466,137
0.13331,10.0026,138
0.127967,9.99632,139
0.116414,10.0046,140
0.119423,9.98516,141
0.127903,10.0094,142
0.134494,10.0095,143
0.123359,9.9881,144
0.121887,10.0009,145
0.13603,10.0052,146
0.13331,10.0002,147
0.117119,9.99133,148
0.128799,10.014,149
0.132542,10.0009,150
0.12131,9.99677,151
0.13347,10.0035,152
0.134847,9.99543,153
0.130046,10.0059,154
0.131582,9.99095,155
0.131103,9.99623,156
0.125215,10.01,157
0.134014,9.99095,158
0.13011,10.0021,159
0.128575,9.99424,160
0.118366,10.0101,161
0.104863,9.98637,162
0.132382,10.0178,163
0.121567,9.99527,164
0.114462,9.99066,165
0.120767,10.003,166
0.116031,10.0077,167
0.13363,9.99901,168
0.127262,10.0033,169
0.129087,9.98928,170
0.118974,9.99418,171
0.138078,10.0168,172
0.130366,9.99812,173
0.131551,9.99351,174
0.132767,10.0025,175
0.13187,10.0051,176
0.132318,10.0011,177
0.129855,9.99315,178
0.133758,10.0062,179
0.13283,9.99143,180
0.127102,10.0097,181
0.134367,9.99053,182
0.127166,10.0014,183
0.124542,9.99549,184
0.131199,10.0126,185
0.118398,9.9865,186
0.126302,10.0093,187
0.134974,9.98836,188
0.129599,10.0019,189
0.131326,10.0074,190
0.127486,9.99827,191
0.13299,10.0039,192
0.120351,10.001,193
0.13267,9.99639,194
0.126334,9.99732,195
0.122207,9.99527,196
0.109534,9.996,197
0.129534,10.0018,198
0.131199,9.99869,199
0.127039,10.0075,200
0.129726,9.99991,201
0.13523,10.0019,202
0.133534,10.0085,203
0.120415,9.98992,204
0.128638,9.99815,205
0.116798,10.0086,206
0.130367,10.0027,207
0.133183,10.0001,208
0.126782,10,209
0.131966,9.99981,210
0.129887,10.0007,211
0.13363,10.0006,212
0.13523,9.99047,213
0.119903,10.0044,214
0.131007,9.99572,215
0.128766,9.99853,216
0.128478,10.0091,217
0.127071,10,218
0.130718,9.99725,219
0.128766,10.0029,220
0.126878,9.99555,221
0.132479,10.0058,222
0.127838,9.99652,223
0.117215,9.98471,224
0.123423,10.0149,225
0.131807,9.99584,226
0.132958,9.9922,227
0.117183,9.99821,228
0.120767,10.0006,229
0.125726,9.99924,230
0.129342,10.006,231
0.127487,10.0041,232
0.127839,9.99623,233
0.11235,9.99501,234
0.114687,9.99834,235
0.127359,10.0023,236
0.12595,10.0061,237
0.131902,9.99936,238
0.113247,9.9904,239
0.130271,10.0035,240
0.13011,10.0143,241
0.128926,9.99565,242
0.122847,10.0064,243
0.115391,9.99501,244
0.135486,9.99872,245
0.117278,9.98906,246
0.118398,10.0128,247
0.130015,9.99456,248
0.124031,9.99479,249
0.116926,10.0044,250
0.125982,10.0022,251
0.119583,9.99104,252
0.118943,10.0132,253
0.127455,10.0029,254
0.130527,9.99303,255
0.131806,10.0068,256
0.131934,9.98823,257
0.136766,10.0125,258
0.131039,9.99271,259
0.129566,9.99476,260
0.127166,10,261
0.137374,10.0115,262
0.120799,9.98912,263
0.134687,9.99456,264
0.127455,10.0023,265
0.126654,10.0034,266
0.128222,10.0111,267
0.13219,9.99482,268
0.126591,9.99898,269
0.119679,9.99325,270
0.115198,9.99616,271
0.116958,10.0032,272
0.12723,10.0081,273
0.129086,10.0056,274
0.129407,9.99005,275
0.127583,10.0036,276
0.136382,9.99962,277
0.118302,9.99072,278
0.117631,10.012,279
0.125887,9.99021,280
0.121887,10.0036,281
0.122142,10.0066,282
0.129214,10.0025,283
0.115391,9.98391,284
0.110559,10.0032,285
0.128287,10.0135,286
0.116094,9.99802,287
0.123806,9.98973,288
0.128126,10.0015,289
0.123967,9.99872,290
0.129183,10.0123,291
0.118463,9.99671,292
0.116606,9.99994,293
0.130462,10.0034,294
0.129758,9.99812,295
0.117983,9.98948,296
0.116319,10.0027,297
0.127134,10.0042,298
0.13075,10.0041,299
0.132286,9.98912,300
0.120767,9.99847,301
0.130847,10.0151,302
0.132478,9.99082,303
0.123934,9.99642,304
0.115614,10.0077,305
0.132766,10.0045,306
0.127807,9.99863,307
0.126046,9.98736,308
0.135358,10.0134,309
0.126814,9.99943,310
0.129982,9.99981,311
0.119007,9.98477,312
0.120223,10.0127,313
0.128702,10.0035,314
0.133854,9.99104,315
0.126558,10.0003,316
0.127487,9.99587,317
0.131807,10.0034,318
0.133438,10.0081,319
0.132542,10.0008,320
0.131934,9.98714,321
0.114431,10.0098,322
0.119135,9.9904,323
0.128094,10.0056,324
0.128798,9.99853,325
0.117374,10.0042,326
0.122303,9.99795,327
0.128511,10.0059,328
0.123678,9.98749,329
0.124894,10.014,330
0.118303,9.9856,331
0.128862,10.0083,332
0.127231,10.0022,333
0.128511,9.99997,334
0.132702,10.0029,335
0.117982,9.9904,336
0.128318,9.99757,337
0.128127,9.99895,338
0.127807,10.0142,339
0.129854,9.9985,340
0.135838,9.99875,341
0.115839,9.99684,342
0.129631,9.99911,343
0.117791,10.0017,344
0.126591,9.99434,345
0.121278,10.0074,346
0.118494,9.99856,347
0.131838,10.0039,348
0.14083,9.99943,349
0.124126,10.0009,350
0.12947,9.99933,351
0.131103,9.99447,352
0.133855,10.0054,353
0.122591,9.98845,354
0.133855,10.0108,355
0.127518,9.9874,356
0.112094,9.99738,357
0.125246,10.003,358
0.129342,10.0011,359
0.112543,9.99872,360
0.152798,10.5966,361
0.131967,9.41444,362
0.192894,10.0099,363
0.173726,10.0273,364
0.134462,9.94474,365
0.194814,10.0279,366
0.240349,10.4126,367
0.260029,9.57995,368
0.145214,9.97607,369
2.06461,10.0176,370
0.32486,9.98035,371
0.210558,10.0152,372
0.186846,10.0104,373
0.211069,9.97946,374
0.196029,10.0196,375
0.186013,9.9962,376
0.174558,9.99239,377
0.185054,10.004,378
0.17155,10.007,379
0.166046,9.98781,380
0.171614,10.002,381
0.18883,10.0139,382
0.183198,10.0002,383
0.178749,9.9888,384
0.176829,10.0106,385
0.165406,9.98775,386
0.168126,10.0029,387
0.186558,10.0036,388
0.188894,9.9928,389
0.16195,9.99684,390
0.177022,9.99962,391
0.184222,10.0091,392
0.18611,10.0012,393
0.184733,10.0001,394
0.164862,10.0023,395
0.168958,9.99562,396
0.18499,10.0037,397
0.169566,9.9969,398
0.17267,9.99869,399
0.186494,9.99904,400
0.188286,10.0026,401
0.167006,10.0034,402
0.165117,9.99469,403
0.181853,9.99904,404
0.161438,9.99907,405
0.181118,10.0021,406
0.178686,10.0077,407
0.165822,9.9968,408
0.17923,9.99732,409
0.193534,9.99783,410
0.19235,10.0034,411
0.187646,9.99847,412
0.184413,10.0022,413
0.163614,9.99367,414
0.163166,10.0069,415
0.178366,10.0041,416
0.180542,9.99341,417
0.180478,9.99597,418
0.162718,9.99667,419
0.157342,10.0034,420
0.167197,9.9952,421
0.179709,10.0065,422
0.180957,9.99997,423
0.16371,9.99847,424
0.184253,10.0093,425
0.184222,9.99658,426
0.16771,9.9936,427
0.183678,10.0057,428
0.18563,9.9985,429
0.171486,9.9944,430
0.181918,10.0045,431
0.186045,9.9953,432
0.186109,10.0125,433
0.171294,9.98727,434
0.18147,10.0042,435
0.191901,10.0074,436
0.189662,9.99415,437
0.190686,10.0012,438
0.183038,9.99818,439
0.193758,9.99732,440
0.180253,10.0022,441
0.177085,9.99981,442
0.187805,10,443
0.17523,9.99939,444
0.191486,9.99383,445
0.184477,10.0131,446
0.200925,9.99431,447
0.193917,10.0001,448
0.190558,10.0009,449
0.190653,10.0061,450
0.176286,9.99232,451
0.18355,10.0034,452
0.17219,9.99527,453
0.183006,10.0091,454
0.169886,9.98855,455
0.16675,10.0024,456
0.169246,9.9993,457
0.164606,10.0008,458
0.16835,10.0043,459
0.172158,9.99565,460
0.178046,10.0037,461
0.186654,10.0014,462
0.182974,9.99917,463
0.160926,10.0008,464
0.179774,9.99226,465
0.165822,10.0019,466
0.163198,10.0022,467
0.176126,10.0058,468
0.178974,9.99533,469
0.191198,10.0053,470
0.181822,9.99635,471
0.180318,9.99341,472
0.18051,10.0108,473
0.165533,9.98525,474
0.177214,10.0068,475
0.156639,9.99875,476
0.169981,9.99469,477
0.165565,10.0062,478
0.153822,9.99956,479
0.173853,10.0021,480
0.161214,9.99431,481
0.173789,10.0027,482
0.177853,10.0021,483
0.166974,9.99715,484
0.161182,9.99837,485
0.182397,10.0085,486
0.190301,9.9985,487
0.159902,9.99482,488
0.162718,9.99991,489
0.166622,10.0046,490
0.190781,10.0001,491
0.175774,9.99514,492
0.176414,10.0031,493
0.178334,9.99824,494
0.177342,9.99706,495
0.170494,10.0081,496
0.161054,9.99405,497
0.18195,10.0017,498
0.190653,10.0076,499
0.17779,9.99395,500
0.185278,9.99824,501
0.167134,9.99866,502
0.16947,10.0082,503
0.175806,9.99744,504
0.181246,9.99732,505
0.17139,10.0002,506
0.170814,10.0017,507
0.178526,10.0013,508
0.178878,9.99395,509
0.175038,10.0021,510
0.165598,9.99191,511
0.16899,10.0114,512
0.164894,9.99264,513
0.183422,10.0021,514
0.180894,10.0091,515
0.187966,9.9921,516
0.17971,10.007,517
0.180894,9.99091,518
0.180574,10.0091,519
0.178334,9.99795,520
0.186366,10.0025,521
0.176286,9.99501,522
0.179998,10.0043,523
0.174398,9.99776,524
0.180094,9.9968,525
0.165662,10.0002,526
0.159614,9.99453,527
0.173501,10.0032,528
0.155934,9.99747,529
0.177149,10.0008,530
0.176317,10.0004,531
0.182973,10.0031,532
0.172861,10.0007,533
0.163902,10.003,534
0.161598,9.99559,535
0.184797,10.0071,536
0.181405,9.9912,537
0.177661,10.0018,538
0.177214,9.99879,539
0.17379,10.0004,540
