execution_ms,period_ms,control loop iteration
0.189915,1.05229,1
0.016736,0.974887,2
0.012416,0.998566,3
0.01184,0.999239,4
0.011936,0.99719,5
0.012895,0.998439,6
0.011872,1.00292,7
0.01184,0.99735,8
0.014815,1.00602,9
0.013248,0.995846,10
0.012256,0.99863,11
0.012159,0.999303,12
0.012608,1.00113,13
0.013248,1.00205,14
0.013087,0.997319,15
0.012384,0.999526,16
0.012159,1.00068,17
0.016639,1.00391,18
0.012672,0.997446,19
0.011647,0.999239,20
0.011392,0.999814,21
0.016448,0.998502,22
0.013215,1.00097,23
0.011552,0.999238,24
0.012288,0.999494,25
0.021439,1.00759,26
0.012864,0.995526,27
0.011712,0.997894,28
0.011551,0.999687,29
0.012128,0.99943,30
0.011392,1.00113,31
0.010976,0.999143,32
0.01104,1.00164,33
0.011903,0.999335,34
0.015743,1.00634,35
0.012224,0.995302,36
0.011871,0.997607,37
0.012064,0.999686,38
0.011744,1.00263,39
0.011519,0.997447,40
0.01136,0.999622,41
0.011424,1.00372,42
0.025407,2.47501,43
0.012608,0.526066,44
0.008672,0.991815,45
0.007936,0.99863,46
0.007327,0.998663,47
0.007296,0.999942,48
0.007808,0.999782,49
0.007424,0.999879,50
0.006816,0.998918,51
0.007392,1.00036,52
0.007392,1.00122,53
0.007456,0.999078,54
0.007264,1.00045,55
0.007392,0.999143,56
0.008,1.00097,57
0.006623,0.999431,58
0.007264,0.99943,59
0.007936,1.00039,60
0.007711,1.00049,61
0.007104,0.99959,62
0.007328,0.99943,63
0.007039,1.00071,64
0.007264,1.00071,65
0.007424,0.998918,66
0.00752,0.999879,67
0.00736,0.999142,68
0.00784,1.00164,69
0.007104,1.00007,70
0.007392,0.999494,71
0.020448,1.39772,72
0.014272,1.25325,73
0.439285,10.7602,74
0.021952,0.612112,75
0.030879,0.999175,76
0.027872,0.998854,77
0.033919,1.00071,78
0.038975,1.00189,79
0.037695,1.00621,80
0.032863,1.00913,81
0.038495,0.993703,82
0.037343,1.00052,83
0.038911,0.993927,84
0.037823,0.993094,85
0.033855,1.01351,86
0.037887,1.00093,87
0.038719,0.995815,88
0.035551,0.996326,89
0.037951,0.997095,90
0.034655,1.00177,91
0.040223,0.994471,92
0.038463,1.00497,93
0.037055,1.01377,94
0.039647,0.99159,95
0.037599,1.0026,96
0.034783,0.999398,97
0.036095,1.00705,98
0.033311,0.982919,99
0.040703,1.01063,100
0.037215,0.993863,101
0.036415,1.00634,102
0.036991,0.997798,103
0.036447,0.991975,104
0.018304,0.98583,105
0.01536,0.994951,106
0.020096,1.00241,107
0.015295,0.996871,108
0.013856,0.99895,109
0.014272,1.00013,110
0.015231,0.999975,111
0.014528,0.999462,112
0.013728,0.999782,113
0.013663,0.999367,114
0.014368,1.00058,115
0.013887,0.999655,116
0.01392,0.999782,117
0.013952,0.99975,118
0.014623,1.00154,119
0.014272,0.998086,120
0.014336,1.00033,121
0.015071,1.00058,122
0.016032,1.00052,123
0.014144,1.0002,124
0.013887,0.999239,125
0.014048,1.00013,126
0.014816,1.00084,127
0.014559,0.999175,128
0.014336,1.00001,129
0.014112,0.999782,130
0.017119,1.00049,131
0.013664,0.99959,132
0.012959,1.00036,133
0.01248,0.999622,134
0.014144,1.00103,135
0.014047,0.998759,136
0.0136,0.999654,137
0.01392,1.00084,138
0.014527,0.999111,139
0.01376,1.00135,140
0.037215,1.07981,141
0.017472,0.932648,142
0.015424,0.989351,143
