execution_ms,period_ms,iteration
0.14598,1.02429,1
0.023391,0.988869,2
0.013439,0.999812,3
0.011168,0.99882,4
0.01264,1.00224,5
0.015808,0.997892,6
0.009951,0.999685,7
0.01008,1.00068,8
0.010624,0.999268,9
0.01328,1.00279,10
0.011295,0.997957,11
0.009727,0.999364,12
0.009184,0.99994,13
0.020543,1.00432,14
0.010976,0.997572,15
0.011424,1.00701,16
0.010879,0.992101,17
0.01536,1.0024,18
0.010528,0.99898,19
0.009824,1.00311,20
0.010111,0.995941,21
0.009632,0.998276,22
0.012032,1.00196,23
0.009312,0.999172,24
0.011904,1.00151,25
0.010943,0.998917,26
0.01216,1.00093,27
0.010144,1.00032,28
0.009856,1.00036,29
0.011584,0.999492,30
0.008799,1.00308,31
0.015135,0.996868,32
0.008384,0.997252,33
0.009504,1.00484,34
0.009951,0.998053,35
0.019231,1.68152,36
0.00688,0.314487,37
0.005792,0.997188,38
0.006175,0.997925,39
0.005056,0.999332,40
0.005824,0.99962,41
0.005216,1.00068,42
0.004799,0.999653,43
0.005632,0.99914,44
0.004992,0.999684,45
0.004544,1.00042,46
0.00448,0.999236,47
0.004415,0.999909,48
0.00448,0.99994,49
0.004608,1.00106,50
0.004192,0.999268,51
0.004416,1.00013,52
0.00432,0.999813,53
0.004288,1.00077,54
0.004256,0.998756,55
0.004256,1.00039,56
0.004351,0.999717,57
0.004448,1.00077,58
0.004352,0.999428,59
0.00448,0.999972,60
0.004352,0.999876,61
0.004511,1.00138,62
0.00448,0.999076,63
0.004384,0.999492,64
0.004352,1.00004,65
0.004544,1.00074,66
0.004447,0.999493,67
0.004608,1.00058,68
0.004576,0.999684,69
0.00432,1.0002,70
0.00432,0.999556,71
0.004352,0.999365,72
0.004288,1.00004,73
0.004544,1.00112,74
0.004352,0.999524,75
0.004319,1.00001,76
0.004352,0.999684,77
0.004352,1.00048,78
0.004736,1.00013,79
0.004736,0.999716,80
0.004575,1.00001,81
0.004512,1.00084,82
0.004352,0.999236,83
0.00448,0.999908,84
0.00432,0.999716,85
0.004255,1.0009,86
0.004416,0.999364,87
0.004384,0.999876,88
0.004448,0.999972,89
0.004448,1.00071,90
0.00416,0.998885,91
0.004736,1.00013,92
0.004384,1.00032,93
0.004512,1.00058,94
0.004415,0.999461,95
0.004448,1.00004,96
0.004416,0.999844,97
0.00432,1.00106,98
0.004288,0.998596,99
0.004287,0.999877,100
0.004352,1.00052,101
0.00432,1.00052,102
0.00448,0.999556,103
0.004384,1.00023,104
0.004384,0.999205,105
0.004448,1.00106,106
0.004384,0.999076,107
0.00448,0.99994,108
0.004448,0.999844,109
0.00432,1.00141,110
0.004384,0.998852,111
0.004608,1.00096,112
0.004256,0.999748,113
0.004447,1.00045,114
0.004608,0.998916,115
0.004448,1.00039,116
0.004416,0.999652,117
0.004576,1.0009,118
0.004479,0.998629,119
0.004448,1.00084,120
0.004448,0.999332,121
0.004512,1.00132,122
0.004416,0.99882,123
0.004384,1.00026,124
0.012512,1.20368,125
0.006464,1.94347,127
0.020927,0.86436,128
0.020704,0.996228,129
0.019072,1.00996,130
0.018943,0.992581,131
0.019615,0.999844,132
0.020223,0.997412,133
0.019872,1.00074,134
0.019776,1.00445,135
0.021023,0.997733,136
0.022783,0.998308,137
0.022143,1.00074,138
0.020896,1.00391,139
0.021856,0.995588,140
0.020959,1.00113,141
0.021119,0.99882,142
0.020576,0.996676,143
0.010879,0.992581,144
0.007424,0.999524,145
0.007168,0.999908,146
0.00752,0.999716,147
0.0072,1.00029,148
0.009087,0.999877,149
0.007264,0.99898,150
0.007584,0.99994,151
0.00784,0.999588,152
0.007487,0.999845,153
0.008543,1.00224,154
0.008224,0.999044,155
0.008768,1.0001,156
0.010432,0.999684,157
0.009311,1.00029,158
0.0104,0.99962,159
0.009408,0.999908,160
0.00944,1.00068,161
0.00944,0.999972,162
0.009791,0.999429,163
0.011776,0.999844,164
0.00976,1.00013,165
