execution_ms,period_ms,control loop iteration
0.147067,1.02813,1
0.015679,0.987393,2
0.01232,1.00176,3
0.01328,0.994913,4
0.014656,1.0048,5
0.014688,0.996513,6
0.011007,0.999553,7
0.019136,1.00141,8
0.012319,1.00269,9
0.01056,0.997632,10
0.010015,1.00058,11
0.010848,0.998176,12
3.58898,3.6643,13
0.006687,3.60018,14
0.022848,0.7402,15
0.020703,1.00595,16
0.020128,0.995872,17
0.020191,1.00493,18
0.021888,0.99696,19
0.021951,0.994465,20
0.021056,1.0048,21
0.021855,1.00455,22
0.020543,0.993793,23
0.021343,1.00714,24
0.022559,0.995105,25
0.021855,0.999712,26
0.022495,0.998625,27
0.022367,1.00522,28
0.023391,0.995521,29
0.010271,0.986401,30
0.00864,0.998528,31
0.008031,0.999969,32
0.007552,0.999392,33
0.00752,0.999073,34
0.007968,1.00099,35
0.007392,0.999329,36
0.007744,0.999648,37
0.007232,1.00006,38
0.008416,1.00179,39
0.00816,0.999393,40
0.007039,0.999393,41
0.00752,0.999712,42
0.007999,1.00058,43
0.00784,0.99968,44
0.007551,1.0001,45
0.007456,0.999776,46
0.007711,1.00064,47
0.007712,0.999552,48
0.007616,1.00013,49
0.007744,0.999552,50
0.007168,1.00032,51
0.007488,0.999712,52
0.007584,1.00026,53
0.007424,1.00026,54
0.008896,1.00061,55
0.009791,1.28342,56
0.008128,0.715433,57
0.007776,1.00253,58
0.009952,0.998081,59
0.008415,1.00106,60
0.010176,0.99968,61
0.008703,1.00016,62
0.010112,0.998784,63
0.007936,0.999585,64
0.010624,1.00131,65
0.00864,0.998369,66
0.009952,1.00064,67
0.007744,0.998369,68
0.010208,1.1071,69
0.009504,0.895364,70
0.010112,1.00186,71
0.009728,0.997281,72
0.00816,1.00173,73
0.011072,1.00112,74
0.010784,1.00208,75
0.009504,0.995137,76
0.007999,0.998337,77
0.012032,1.00499,78
0.010783,0.998305,79
0.009536,0.998368,80
0.007936,0.998337,81
0.013568,1.00688,82
0.011295,0.997377,83
0.00992,0.997376,84
0.008,0.998465,85
0.013824,1.00742,86
0.011711,0.997569,87
0.010368,0.997088,88
0.007872,0.998177,89
0.01392,1.13548,90
0.013471,0.870853,91
0.011648,1.00346,92
0.009088,0.991425,93
0.008127,0.999297,94
0.015359,1.00822,95
0.010495,0.997953,96
0.00944,0.99456,97
0.007808,0.998305,98
0.017151,1.0121,99
0.013887,0.996481,100
0.013152,1.00435,101
0.009312,0.988641,102
0.008512,0.999072,103
0.014975,1.01002,104
0.012832,0.99792,105
0.009376,0.992929,106
0.008223,0.999361,107
0.016895,1.16377,108
0.016032,0.846789,109
0.014655,1.00391,110
0.009631,0.986177,111
0.007968,0.998528,112
0.017728,1.01242,113
0.014592,0.997857,114
0.009791,0.991201,115
0.008288,0.998688,116
0.016959,1.1654,117
0.016032,0.845829,118
0.01552,1.004,119
0.009696,0.986273,120
0.00864,0.998273,121
0.018016,1.01146,122
0.015711,0.998593,123
0.010079,0.991777,124
0.008288,0.998752,125
0.017376,1.16534,126
0.016127,0.844806,127
0.013888,1.00416,128
0.00976,0.986785,129
0.008032,0.998433,130
0.018527,1.0119,131
0.014272,0.998592,132
0.0096,0.990913,133
0.008,0.998593,134
0.018591,1.01341,135
0.015551,0.997665,136
0.014304,1.00413,137
0.009504,0.986529,138
0.008223,0.998817,139
0.017887,1.01171,140
0.013984,0.997696,141
0.009312,0.991809,142
0.008223,0.998465,143
0.017471,1.16502,144
0.015296,0.845701,145
0.014399,1.00391,146
0.010015,0.986465,147
0.00752,0.998688,148
0.017472,1.01232,149
0.012928,0.997985,150
0.009248,0.991265,151
0.007648,0.998624,152
0.016607,1.16368,153
0.015488,0.847525,154
0.014751,1.00307,155
0.00912,0.986688,156
0.007936,1.00093,157
0.017216,1.01034,158
0.015999,1.0025,159
0.009535,0.986625,160
0.007744,0.998752,161
0.017088,1.01184,162
0.015455,0.997921,163
0.009567,0.992193,164
0.007808,0.998368,165
0.018623,1.18556,166
0.016992,0.824038,167
0.014656,1.00464,168
0.009664,0.987137,169
0.007616,0.998593,170
0.018464,1.01126,171
0.013791,0.998433,172
0.00864,0.991232,173
0.006848,0.998689,174
0.033151,1.01434,175
0.014367,0.995745,176
0.014112,1.00429,177
0.009152,0.987201,178
0.008223,0.998881,179
0.017407,1.01184,180
0.014208,0.997216,181
0.00896,0.991521,182
0.008384,0.999169,183
0.016928,1.16556,184
0.015135,0.844326,185
0.014272,1.00445,186
0.009216,0.986465,187
0.007488,0.998432,188
0.017471,1.01213,189
0.013568,0.99792,190
0.009376,0.991969,191
0.007647,0.998081,192
0.016607,1.16697,193
0.014624,0.843845,194
0.012799,1.00435,195
0.009535,0.986433,196
0.00784,1.0007,197
0.016704,1.00973,198
0.014815,1.00291,199
0.009983,0.987073,200
0.00752,0.998176,201
0.017247,1.01197,202
0.014176,0.998112,203
0.009504,0.991233,204
0.007743,0.998561,205
0.017087,1.1654,206
0.01568,0.844965,207
0.013983,1.00458,208
0.009503,0.986753,209
0.00752,0.998272,210
0.017824,1.01197,211
0.013983,0.997729,212
0.009567,0.991809,213
0.007424,0.998368,214
0.034687,1.01341,215
0.013536,0.996161,216
0.012416,1.00438,217
0.009056,0.988609,218
0.018207,1.00723,219
0.020511,1.0057,220
0.014528,1.00026,221
0.009568,0.986049,222
0.008224,0.999041,223
0.01808,1.01158,224
0.014431,0.997793,225
0.009343,0.991201,226
0.00816,0.999232,227
0.017344,1.16518,228
0.014047,0.845254,229
0.034687,1.67921,230
0.018591,0.487441,231
0.010783,0.825638,232
0.038239,2.68856,233
0.041791,7.99748,234
0.0144,0.318486,235
0.019199,1.00006,236
0.013184,1.00064,237
0.021119,1.00957,238
0.019679,1.00502,239
0.016127,0.993281,240
0.019808,1.00541,241
0.039007,1.01277,242
0.039262,1.00266,243
0.019551,0.977601,244
0.020959,0.998849,245
0.040286,1.01587,246
0.038815,1.00541,247
0.019903,0.980161,248
0.020959,0.999137,249
0.020223,1.01907,250
0.036159,0.988512,251
0.037215,1.03245,252
0.018431,0.954178,253
0.019936,1.00614,254
0.040319,1.01965,255
0.028479,0.994945,256
0.019263,0.983489,257
0.021344,1.00077,258
0.05155,1.00778,259
0.025759,1.00429,260
0.029279,1.01923,261
0.041375,0.959458,262
0.027039,1.00221,263
0.034271,1.01229,264
0.023007,0.994785,265
0.01456,0.989697,266
0.011903,0.998209,267
0.025503,1.17222,268
0.022464,0.839173,269
0.021855,1.00442,270
0.014655,0.984897,271
0.01136,0.999008,272
0.025696,1.01293,273
0.021247,0.997249,274
0.014111,0.990945,275
0.011328,0.99856,276
0.025535,1.18812,277
0.022975,0.823366,278
0.022816,1.00467,279
0.0136,0.985153,280
0.01184,0.998369,281
0.026111,1.01264,282
0.025215,0.999681,283
0.013887,0.989857,284
0.011872,0.998464,285
0.025248,1.16396,286
0.023455,0.847462,287
0.022016,1.0041,288
0.013888,0.985345,289
0.011743,0.998497,290
0.026047,1.01238,291
0.021536,0.998144,292
0.01376,0.991681,293
0.048734,1.91703,294
0.051999,1.35471,295
0.050591,2.4188,296
0.019744,0.500336,297
0.030175,2.22828,298
0.056447,0.603213,299
0.049183,1.01674,300
0.049182,0.996545,301
0.020512,0.971265,302
0.032063,1.00998,303
0.049822,1.0199,304
0.050014,1.00573,305
0.025664,0.966049,306
0.026527,1.0047,307
0.053534,1.01507,308
0.054847,1.00387,309
0.027743,0.993409,310
0.031135,0.984545,311
0.050367,1.29474,312
0.029631,0.713162,313
0.028287,1.00477,314
0.020832,0.982561,315
0.023199,1.00455,316
0.03811,3.84983,317
0.027199,0.23644,318
0.025951,0.916835,319
0.033631,1.00045,320
0.023904,1.0008,321
0.023903,0.993505,322
0.034431,1.00371,323
0.032223,2.66145,324
0.030559,2.73284,325
0.033087,0.61278,326
0.031711,0.992129,327
0.023551,1.0016,328
0.024384,0.993728,329
0.027391,1.00573,330
0.024928,0.996576,331
0.026975,1.00784,332
0.027071,0.99552,333
0.014144,0.990785,334
0.817287,1.68168,335
0.263896,0.856453,336
0.048607,0.578446,337
0.049343,0.890052,338
0.056926,1.00077,339
0.052255,0.99728,340
0.052158,1.00134,341
0.052991,0.998976,342
0.052606,0.997057,343
0.051103,1.00275,344
0.053118,1.00698,345
0.046975,0.995488,346
0.052446,0.996833,347
0.042655,1.00246,348
0.051134,0.999809,349
0.051711,0.999616,350
0.050878,0.997121,351
0.051614,1.00263,352
0.048063,0.999072,353
0.051518,1.00096,354
0.050975,0.997824,355
0.05011,1.00263,356
0.049183,0.99952,357
0.048638,0.999489,358
0.056478,1.2311,359
0.05779,0.76916,360
0.054462,1.00627,361
0.054078,0.989345,362
0.052735,1.00336,363
0.054558,0.996449,364
0.057342,1.0095,365
0.055294,0.991073,366
0.051742,0.998977,367
0.059262,1.00131,368
0.056894,1.00182,369
0.053759,0.997216,370
0.051486,0.999553,371
0.05843,1.0024,372
0.05699,1.00122,373
0.064798,0.999648,374
0.059806,0.999617,375
0.059998,1.00077,376
0.064574,1.0041,377
0.054495,0.993792,378
0.052862,1.00231,379
0.070398,1.16886,380
0.059774,0.832806,381
0.066366,1.00512,382
0.054334,0.988929,383
0.050015,1.00742,384
0.063742,0.997697,385
0.061406,1.00682,386
0.06947,0.993121,387
0.07251,1.01638,388
0.053983,0.979777,389
0.053823,1.01248,390
0.072382,0.993697,391
0.075774,1.00656,392
