execution_ms,period_ms,iteration
0.149657,10.6609,1
0.011295,0.35176,2
0.019871,1.00386,3
0.017119,1.00085,4
0.012575,0.998865,5
0.016383,0.996817,6
0.010784,1.00056,7
0.011743,1.00114,8
0.017408,1.00318,9
0.011904,0.995313,10
0.016863,1.00274,11
0.010815,1.00117,12
0.017951,0.999536,13
0.014879,0.998417,14
0.013119,1.00021,15
0.015455,0.997937,16
0.0096,0.999824,17
0.014047,1.00408,18
0.012703,0.998161,19
0.010336,0.998736,20
0.008896,1.00056,21
0.020255,0.999185,22
0.016512,1.00219,23
0.012799,1.00146,24
0.014847,0.998897,25
0.012127,0.998161,26
0.016895,1.00482,27
0.006048,0.990737,28
0.004672,0.996593,29
0.004672,0.999377,30
0.004543,0.999089,31
0.004352,0.999824,32
0.00496,1.0004,33
0.004607,1.00056,34
0.004512,0.999472,35
0.00448,1.00015,36
0.004384,0.999153,37
0.004543,1.00063,38
0.004224,1.00008,39
0.004384,0.999537,40
0.004479,1.00027,41
0.00448,1.0004,42
0.004512,0.999729,43
0.004288,0.999441,44
0.004575,0.999825,45
0.004384,1.00072,46
0.004288,0.999217,47
0.004287,1.00011,48
0.00448,0.99992,49
0.004704,1.00059,50
0.004448,1.00037,51
0.004224,1.00018,52
0.004416,0.999089,53
0.008,1.24202,54
0.005759,0.758013,55
0.006591,1.185,56
0.005312,0.815353,57
0.004895,1.00146,58
0.006336,0.998544,59
0.005024,1.00149,60
0.005888,0.999505,61
0.005216,1.00197,62
0.006368,0.999345,63
0.005152,1.0003,64
0.006079,0.997841,65
0.005056,0.999376,66
0.007168,1.00283,67
0.005216,0.997841,68
0.0072,1.00229,69
0.005344,0.999089,70
0.006112,4.87001,72
0.160312,0.488425,73
0.024639,1.22925,74
0.022495,0.769627,75
0.023775,1.00581,76
0.019135,0.998801,77
0.021887,1.00386,78
0.022879,0.993969,79
0.024415,0.999601,80
0.020031,0.995089,81
0.020159,1.00389,82
0.022111,1.00069,83
0.021823,0.999377,84
0.021279,0.998545,85
0.021503,1.0011,86
0.022495,0.999473,87
0.025471,0.997905,88
0.022911,1.00466,89
0.025342,1.00696,90
0.025054,1.22548,91
0.023295,0.837784,92
0.01408,0.923476,93
0.014944,0.993457,94
0.011103,1.00082,95
0.013183,1.00088,96
0.010688,1.00235,97
0.012096,0.994449,98
0.010144,0.999025,99
0.013248,1.00533,100
0.01024,0.997969,101
0.010528,0.997745,102
0.010847,0.998545,103
0.018399,1.00571,104
0.012128,0.998353,105
0.013439,1.00213,106
0.011296,0.998,107
0.009536,0.997969,108
0.00832,0.997585,109
0.013216,1.00786,110
0.011392,0.997329,111
0.014143,0.998545,112
0.011775,0.998001,113
0.015007,1.17969,114
0.013791,0.826489,115
0.015808,1.00517,116
0.010367,0.989138,117
0.008608,0.998896,118
0.020831,1.00872,119
0.01456,1.00011,120
0.009471,0.991666,121
0.009984,0.999536,122
0.022559,1.20362,123
0.016287,0.806458,124
0.014687,1.00315,125
0.01024,0.987441,126
0.008767,0.999121,127
0.035454,1.01781,128
0.023071,0.993681,129
0.012959,0.990641,130
0.009311,0.997745,131
0.018431,1.03221,132
0.016447,0.97989,133
0.013791,1.00574,134
0.011648,0.983249,135
0.009216,0.999761,136
0.019423,1.0124,137
0.037982,1.31978,138
0.012896,0.670976,139
0.017663,0.117114,141
0.035263,0.968562,142
0.028766,1.00635,143
0.016479,0.969458,144
0.013344,0.999024,145
0.027326,1.01141,146
0.018624,0.999312,147
0.013503,0.988722,148
0.013439,1.0069,149
0.033662,1.01787,150
0.033598,0.999729,151
0.020927,0.989713,152
0.020671,0.999121,153
0.037054,1.01147,154
0.035391,1.00418,155
0.034206,1.00683,156
0.023422,0.974162,157
0.021215,1.03618,158
0.058813,1.00402,159
0.035999,0.967314,160
0.020191,1.19594,161
0.019231,0.791482,162
0.020767,1.00952,163
0.038494,1.00744,164
0.035231,1.00421,165
0.021663,0.97941,166
0.020383,1.00613,167
0.03667,1.01256,168
0.034398,0.995729,169
0.015327,0.983857,170
0.041982,1.00318,171
0.052317,1.00917,172
0.024991,0.993937,173
0.019807,1.00606,174
0.016959,0.982546,175
0.010591,0.997617,176
0.03107,1.01406,177
0.020703,0.996369,178
0.014271,0.990865,179
0.010399,0.997873,180
0.029534,1.0141,181
0.020319,0.997296,182
0.019167,1.00616,183
0.012928,0.984785,184
0.011327,0.998737,185
0.028703,1.22561,186
0.025119,0.786235,187
0.014655,0.989329,188
0.012479,0.997873,189
0.025919,1.01374,190
0.022463,0.996593,191
0.021599,1.00616,192
0.015647,0.986162,193
0.01072,0.999536,194
0.035231,1.01173,195
0.020223,0.997937,196
0.01552,0.991441,197
0.034622,3.6654,198
0.052029,0.89119,199
0.059037,3.12187,200
0.025439,0.46017,201
0.023455,0.877367,202
0.024191,0.998033,203
0.042462,1.00725,204
0.042878,1.00808,205
0.027167,0.981906,206
0.02627,1.00123,207
0.055581,1.01355,208
0.044029,0.999665,209
0.025535,0.981841,210
0.026782,1.00267,211
0.058909,1.26336,212
0.05363,0.756668,213
0.036798,0.998097,214
0.02819,0.974962,215
0.028671,1.01054,216
0.035838,0.999825,217
0.028319,1.00805,218
0.024222,0.98373,219
0.032222,1.64267,220
