execution_ms,period_ms,iteration
0.146398,10.0229,1
0.049087,10.0013,2
1.87872,10.0009,3
0.055423,10.0097,4
0.048575,9.98192,5
0.009088,9.98966,6
0.008255,10.0002,7
0.007072,9.99884,8
0.007136,9.99971,9
0.00768,9.9992,10
0.006848,9.99923,11
0.007263,9.99987,12
0.0072,10.0011,13
0.007008,9.99942,14
0.007008,9.99936,15
0.006912,10,16
0.007423,10.0003,17
0.007712,9.99993,18
0.007072,10.0005,19
0.00672,9.99926,20
0.00688,9.99993,21
0.007104,10.0002,22
0.00704,9.99993,23
0.007104,9.99958,24
0.007456,10.0011,25
0.006592,9.99961,26
0.00672,9.9999,27
0.007488,9.99997,28
0.006848,9.99987,29
0.007104,10.0003,30
0.006944,9.99933,31
0.006816,10.0005,32
0.006656,10.0015,33
0.00688,9.99875,34
0.007008,9.99993,35
0.007263,9.99968,36
0.00704,10.0006,37
0.006656,9.99942,38
0.006624,10,39
0.007424,9.99961,40
0.006879,10.0004,41
0.006848,10.0003,42
0.007168,10.0002,43
0.006656,9.99949,44
0.00672,9.99997,45
0.006911,10.0001,46
0.006912,10.0003,47
0.007136,9.9999,48
0.006944,9.99965,49
0.024352,10.2186,50
0.045887,9.85104,51
0.056479,9.94157,52
0.047967,10.011,53
0.062847,10.2034,54
0.062943,9.79552,55
0.042847,9.99008,56
0.755697,9.99795,57
0.249435,9.99277,58
0.072254,10.0089,59
0.039904,9.99721,60
0.043263,9.99734,61
0.038463,10,62
0.043839,10.0041,63
0.043999,9.9951,64
0.043264,10.0027,65
0.044767,10.0016,66
0.043168,9.99609,67
0.039103,10.0026,68
0.039135,10.0025,69
0.041631,9.99702,70
0.041791,9.99789,71
0.041247,10.0022,72
0.038336,9.99693,73
0.035199,9.99997,74
0.039327,10.0004,75
0.041279,10.0027,76
0.040287,9.99949,77
0.042591,10.0017,78
0.041792,9.99699,79
0.042975,10.0032,80
0.041087,10.0018,81
0.042207,9.9951,82
0.039359,10.0051,83
0.03248,9.99433,84
0.033056,10.001,85
0.038719,9.99869,86
0.033055,10.0059,87
0.042271,9.99606,88
0.040671,10.0001,89
0.043007,10.004,90
0.040543,9.99469,91
0.041407,10.0004,92
0.041151,10.0053,93
0.038495,9.99401,94
0.041311,9.99949,95
0.040352,10.0004,96
0.040127,9.99981,97
0.035775,10.0002,98
0.033407,9.99997,99
0.040255,9.9991,100
0.041215,10.0066,101
0.03632,9.99933,102
0.039839,9.99894,103
0.037567,9.99577,104
0.039007,10.001,105
0.040543,9.99939,106
0.043391,9.99961,107
0.037472,10.0008,108
0.036831,9.99926,109
0.034111,9.99856,110
0.040031,10.0018,111
0.041727,9.99955,112
0.039488,10.0011,113
0.042368,9.99917,114
0.040959,10.0028,115
0.044127,10.0008,116
0.041951,9.99859,117
0.043231,10.0013,118
0.040319,9.99923,119
0.038687,9.99728,120
0.040863,10.001,121
0.039999,9.99904,122
0.041567,10.0038,123
0.041151,10.0001,124
0.039104,9.99661,125
0.040351,9.99914,126
0.041247,10.002,127
0.040287,10.0033,128
0.039807,9.99574,129
0.042495,10.0048,130
0.040992,9.99513,131
0.04272,10.0054,132
0.042591,9.99974,133
0.040831,9.99728,134
0.042111,10.0024,135
0.037759,9.99491,136
0.041792,10.0037,137
0.0424,10.0016,138
0.041855,9.99997,139
0.040031,10.0002,140
0.039007,9.99757,141
0.040351,10.0025,142
0.041472,9.99901,143
0.063807,10.0038,144
0.122685,10.0424,145
0.082718,9.95254,146
0.12419,10.006,147
0.304794,9.99593,148
0.112606,9.99251,149
0.061982,10.0065,150
0.051551,9.99811,151
0.052799,10.0016,152
0.050687,9.99808,153
0.048383,10.0016,154
0.043776,10.0019,155
0.048767,9.9983,156
0.049087,10.0011,157
0.046975,9.99958,158
0.050815,9.99961,159
0.048511,9.99897,160
0.048575,10.0022,161
0.044255,9.99501,162
0.049663,10.0054,163
0.047327,9.99715,164
0.049247,10.0028,165
0.048415,10.0005,166
0.049983,9.9983,167
0.049695,9.99843,168
0.052031,10.0012,169
0.048256,9.99965,170
0.048191,9.99955,171
0.050143,9.99971,172
0.049567,10.0025,173
0.049215,9.99891,174
0.048351,9.99891,175
0.045727,9.99837,176
0.046207,10.0027,177
0.046079,9.99949,178
0.049343,10.001,179
0.048351,9.99808,180
0.048448,10.0013,181
0.045375,9.99574,182
0.049951,10.0056,183
0.050047,9.99737,184
0.050527,10.0006,185
0.052255,10.0003,186
0.050111,10.002,187
0.044031,9.99965,188
0.048127,10.0003,189
0.048032,9.99401,190
0.047327,10.0056,191
0.048096,9.9999,192
0.050335,9.99782,193
0.044159,9.99651,194
0.049503,10.0053,195
0.051615,10.0004,196
0.048991,10.0002,197
0.045983,9.99965,198
0.046751,9.99769,199
0.045823,10.0022,200
0.046688,10,201
0.048671,10.0001,202
0.049727,9.99642,203
0.050847,10.0044,204
0.048351,9.99722,205
0.047551,9.99952,206
0.051167,10.002,207
0.048351,10.0005,208
0.046943,9.99962,209
0.049663,10.0005,210
0.051103,9.99792,211
0.045567,9.99962,212
0.048671,10.0006,213
0.046911,9.99837,214
0.051039,10.0032,215
0.046463,10.0004,216
0.048479,10.0005,217
0.047455,9.99945,218
0.051295,9.99977,219
0.049119,9.99552,220
0.048991,10.0049,221
0.048479,9.99782,222
0.052351,10.0023,223
0.044543,9.99661,224
0.045855,10.0004,225
0.048223,10.0022,226
0.047167,10.0004,227
0.049471,9.99917,228
0.050847,9.99942,229
0.049087,10.0005,230
0.046879,10.0002,231
0.048959,9.99533,232
0.050623,10.002,233
0.047263,9.99843,234
0.046047,9.99872,235
0.046911,10.0058,236
0.047199,9.99645,237
0.046751,10.0036,238
0.046399,10.0003,239
0.046559,9.99971,240
0.047935,9.99817,241
0.049919,10.0017,242
0.047135,9.99782,243
0.047647,10.0027,244
0.049439,9.99869,245
0.048735,10.0015,246
0.048255,9.99923,247
0.049183,10.0001,248
0.045087,9.99702,249
0.048895,10.0031,250
0.043007,9.99753,251
0.050335,9.99949,252
0.048511,10.0013,253
0.046432,10.0019,254
0.046719,10,255
0.047231,9.99987,256
0.049503,10.0005,257
0.048799,9.99968,258
0.047839,9.99581,259
0.050975,10.0036,260
0.050655,9.99971,261
0.047775,9.99939,262
0.04784,9.9991,263
0.049023,10.0007,264
0.048095,10.0011,265
0.046591,9.9999,266
0.047135,10.0005,267
0.048639,9.99638,268
0.050175,10.0016,269
0.050271,10.002,270
0.048799,9.99936,271
0.049983,10.0009,272
0.048095,9.99542,273
0.0464,10.0043,274
0.048927,9.99894,275
0.047743,10.0007,276
0.042655,9.99584,277
0.048351,10.0022,278
0.047647,9.99968,279
0.049887,9.99891,280
0.049183,10.0007,281
0.048383,10.0014,282
0.049279,10.0004,283
0.047871,9.99757,284
0.047711,10.003,285
0.047423,9.99731,286
0.04752,10.0036,287
0.048319,10,288
0.048703,9.99763,289
0.049663,10.0017,290
0.047263,9.99779,291
0.047327,9.99962,292
0.049919,10.0026,293
0.046047,9.99894,294
0.049407,9.99744,295
0.048575,10.0016,296
0.046655,9.99942,297
0.045247,9.99904,298
0.045119,9.99894,299
0.04752,10.0055,300
0.045376,9.99693,301
0.046559,10.0024,302
0.046527,10.0005,303
0.047647,9.99654,304
0.045215,10.0012,305
0.048831,10.0022,306
0.046367,9.99827,307
