execution_ms,period_ms,iteration
0.144096,1.02702,1
0.026144,0.983462,2
0.015584,1.00417,3
0.013728,1.00125,4
0.01216,0.997606,5
0.011776,0.998919,6
0.019904,1.00109,7
0.011104,1.00167,8
0.013024,0.999398,9
0.014593,0.997894,10
0.019488,1.0049,11
0.011744,1.00074,12
0.012704,1.0009,13
0.0144,0.992518,14
0.01088,1.00567,15
0.012192,1.00109,16
0.01296,0.999718,17
0.019616,0.99303,18
0.004896,0.99671,19
0.004352,0.996359,20
0.004256,0.999494,21
0.004096,0.999878,22
0.004096,0.999718,23
0.004032,1.00001,24
0.004,0.999046,25
0.004,1.00116,26
0.004224,0.999142,27
0.003968,1.00036,28
0.004,0.999559,29
0.00432,1.00132,30
0.008064,1.2962,31
0.006752,0.703652,32
0.00624,1.17431,33
0.005248,0.825605,34
0.004704,1.00081,35
0.006176,0.999462,36
0.00432,1.00065,37
0.006496,1.00007,38
0.004544,0.999302,39
0.005504,0.999622,40
0.004032,0.997926,41
0.00608,1.00458,42
0.00464,0.996774,43
0.007232,1.00151,44
0.0048,0.998694,45
0.005984,1.00193,46
0.004928,0.998151,47
0.006048,1.00193,48
0.004992,0.998246,49
0.00496,1.0009,50
0.0048,0.997991,51
0.005856,1.00359,52
0.00512,0.998438,53
0.006144,1.00407,54
0.005184,0.996454,55
0.006656,1.1089,56
0.005888,0.892102,57
0.005248,1.00279,58
0.005184,0.99527,59
0.004544,0.998567,60
0.006528,1.00449,61
0.005472,0.999686,62
0.006144,0.996422,63
0.004288,0.998694,64
0.007072,1.00689,65
0.006368,0.998598,66
0.00768,1.00164,67
0.005632,0.998278,68
0.007264,1.13645,69
0.00624,0.86503,70
0.006208,1.00241,71
0.00608,0.992294,72
0.004672,0.999366,73
0.009152,1.00753,74
0.006496,0.998278,75
0.005888,0.994726,76
0.004576,0.998598,77
0.007904,1.0105,78
0.00672,0.997126,79
0.006496,1.00353,80
0.004864,0.990022,81
0.004192,0.999974,82
0.009504,1.00906,83
0.007008,0.998182,84
0.005856,0.993158,85
0.004224,0.999142,86
0.00928,1.01194,87
0.007264,0.99687,88
0.00704,1.00381,89
0.005216,0.995046,90
0.004512,0.99191,91
0.010208,1.01223,92
0.007328,0.997254,93
0.006112,0.991846,94
0.004512,0.998598,95
0.01024,1.01479,96
0.00768,0.996582,97
0.008032,1.00673,98
0.005088,0.983142,99
0.00416,0.998118,100
0.0104,1.01508,101
0.007968,1.00209,102
0.006208,0.98471,103
0.004256,0.99847,104
0.011168,1.0153,105
0.007904,0.997574,106
0.006176,0.98887,107
0.004192,0.998342,108
0.009728,1.14487,109
0.008256,0.868326,110
0.008128,1.00305,111
0.00512,0.985254,112
0.004352,0.998406,113
0.010912,1.01559,114
0.00832,0.995878,115
0.005696,0.989926,116
0.004384,0.999014,117
0.010401,1.01604,118
0.007872,0.995271,119
0.007776,1.00423,120
0.005216,0.985542,121
0.004128,0.999462,122
0.010369,0.06224,125
0.300386,1.01338,126
0.0168,0.96839,127
0.014528,0.99623,128
0.033665,1.01716,129
0.038592,1.01031,130
0.015008,0.977382,131
0.016832,0.995462,132
0.048801,0.169889,134
0.035552,1.02497,135
0.017088,0.964422,136
0.016992,1.00586,137
0.032961,1.01345,138
0.03456,1.00481,139
0.017024,0.975558,140
0.01744,1.00487,141
0.035232,1.01409,142
0.032769,1.00615,143
0.016064,1.15009,144
0.01616,0.826725,145
0.038656,1.27844,146
0.033793,0.73466,147
0.017536,0.999175,148
0.009792,0.980774,149
0.007104,0.997638,150
0.019488,1.01409,151
0.016672,0.99863,152
0.008993,0.988262,153
0.00704,0.998151,154
0.016993,1.24612,155
0.015904,0.766149,156
0.014689,1.00573,157
0.008512,0.983943,158
0.007776,0.999014,159
0.018848,1.01322,160
0.0144,0.997574,161
0.008225,0.989254,162
0.006944,0.998919,163
0.007808,1.00327,164
0.019296,1.0145,165
0.015841,1.00013,166
0.008704,0.983495,167
0.007328,1.00029,168
0.01952,1.01329,169
0.014784,0.997702,170
0.008737,0.988742,171
0.007264,0.999879,172
0.01904,1.01421,173
0.015008,0.996998,174
0.014977,1.00644,175
0.008192,0.983527,176
0.006848,0.998534,177
0.019136,1.01444,178
0.01504,0.996806,179
0.009185,0.989862,180
0.007264,0.998343,181
0.01872,1.01562,182
0.014816,0.99655,183
0.007712,1.07102,184
0.008032,0.91719,185
0.018208,1.14494,186
0.016608,0.867909,187
0.014816,1.00439,188
0.008801,0.98327,189
0.006944,0.998983,190
0.017824,1.01393,191
0.016224,0.999462,192
0.008224,0.987494,193
0.007392,0.999367,194
0.018016,1.14529,195
0.015584,0.867749,196
0.015392,1.00353,197
0.009057,0.983686,198
0.007424,0.999239,199
0.01936,1.0154,200
0.014592,0.996966,201
0.008128,0.98839,202
0.007136,0.999239,203
0.00768,1.04929,204
0.01584,0.964038,205
0.015328,1.00381,206
0.009473,0.983782,207
0.007424,1.00052,208
0.0192,1.01345,209
0.01568,0.996614,210
0.008864,0.98935,211
0.007648,1.00029,212
0.017536,1.01428,213
0.014592,0.996486,214
0.014112,1.00554,215
0.008097,0.983718,216
0.00736,0.998919,217
