iteration,execution_ms,iteration_difference_ms
1,0.148762,10.0327
2,0.027166,16.4419
3,0.04595,3.56472
4,0.071581,9.99373
5,0.057405,9.99959
6,0.058494,9.9945
7,0.06467,9.99306
8,0.017215,9.98842
9,0.0096,9.99703
10,0.011264,10.0002
11,0.007327,9.99831
12,0.009375,10.0004
13,0.008,9.99965
14,0.00672,9.99952
15,0.007264,10.0016
16,0.006784,9.99879
17,0.007103,9.99895
18,0.007775,10.0017
19,0.006688,9.99827
20,0.006496,10
21,0.006688,10.0005
22,0.006848,9.99914
23,0.006432,9.99943
24,0.006463,10.0013
25,0.006527,9.99901
26,0.006559,10.0018
27,0.006592,9.9992
28,0.006784,9.99959
29,0.006624,9.99965
30,0.006688,10.0006
31,0.006719,10.0002
32,0.007039,10
33,0.00688,10.0002
34,0.006752,9.99997
35,0.006592,9.99949
36,0.006944,10.0005
37,0.006688,9.99911
38,0.006111,10.0007
39,0.006367,9.99891
40,0.006495,10.0032
41,0.00688,9.9976
42,0.006528,9.99994
43,0.006976,10.0009
44,0.006592,9.99898
45,0.006239,10.0006
46,0.006847,9.99962
47,0.0064,9.99971
48,0.026239,12.4585
49,0.053598,7.56337
50,0.069277,9.98816
51,0.05891,10.0152
52,0.08662,10.3982
53,0.076637,9.59727
54,0.061214,9.99011
55,0.827389,10.0007
56,0.275509,9.99341
57,0.093436,10.0093
58,0.059294,9.9952
59,0.053086,9.99827
60,0.04755,9.99975
61,0.04083,10.0002
62,0.042462,9.99853
63,0.044062,10.0033
64,0.043166,9.99933
65,0.037663,9.99696
66,0.039807,10.0023
67,0.038271,9.99885
68,0.041471,10.0032
69,0.040702,9.99652
70,0.042974,10.0035
71,0.043454,9.99728
72,0.038463,9.99965
73,0.040159,10.0005
74,0.038111,9.99968
75,0.041598,9.99991
76,0.041758,10
77,0.03891,9.99978
78,0.042462,10.0017
79,0.039551,9.99834
80,0.038143,9.99914
81,0.037375,10.0013
82,0.043327,10.0037
83,0.040894,9.99687
84,0.041054,10.0003
85,0.041662,9.99946
86,0.041246,9.99994
87,0.041279,10.0005
88,0.041695,9.99946
89,0.040798,10.0004
90,0.042238,9.99952
91,0.040958,10
92,0.037662,9.99959
93,0.040607,9.99978
