iteration,execution_ms,iteration_difference_ms
1,0.146202,10.0306
2,0.032542,11.0401
3,0.051742,8.96332
4,0.054398,9.99839
5,0.069853,9.99964
6,0.067101,10.0138
7,0.066078,9.974
8,0.021183,10.2314
9,0.025215,9.76006
10,0.020703,10.1518
11,0.021023,9.98165
12,0.016927,10.0802
13,0.017824,9.98274
14,0.037918,9.82406
15,0.046078,13.041
16,0.044542,7.23728
17,0.060222,9.71104
18,0.085885,10.0065
19,0.073341,9.99973
20,0.046174,10.1669
21,0.077181,9.9007
22,0.082237,9.96511
23,0.081021,10.1912
24,0.077469,9.79593
25,0.061534,9.96809
26,1.09058,10.03
27,0.306996,9.97906
28,0.124987,10.2049
29,0.09686,9.97317
30,0.108284,10.081
31,0.0959,9.95077
32,0.111804,10.0351
33,0.106395,9.77158
34,0.102108,9.98517
35,0.109883,10.0207
36,0.114011,10.0575
37,0.118811,9.94044
38,0.292085,9.97762
39,0.111643,10.0325
40,0.117499,10.1353
41,0.103004,9.85404
42,0.087356,9.9814
43,0.112252,10.0297
44,0.084605,9.96754
45,0.118555,10.0166
46,0.118684,10.2025
47,0.109948,9.80086
48,0.1143,10.1628
49,0.105116,9.83167
50,0.122971,10.077
51,0.112988,9.92655
52,0.119323,10.1523
53,0.111068,9.85391
54,0.319251,9.97554
55,0.10774,10.0331
56,0.116251,10.1747
57,0.114459,9.80787
58,0.120827,10.1637
59,0.106556,9.83251
60,0.108316,10.1666
61,0.109116,9.84198
62,0.117787,10.1552
63,0.104668,9.84249
64,0.119996,10.1705
65,0.100476,9.82684
66,0.112732,10.1601
67,0.112923,9.84147
68,0.120379,10.1558
69,0.103132,9.84175
70,0.111835,10.1712
71,0.118555,9.84531
72,0.11286,10.1558
73,0.10774,9.83804
74,0.117627,10.1644
75,0.097948,9.82432
76,0.117819,10.1807
77,0.101532,9.82409
78,0.115516,10.1547
79,0.108188,9.84028
80,0.114492,10.1634
81,0.111068,9.84303
82,0.114139,10.1432
83,0.104668,9.85897
84,0.1103,10.1452
85,0.106491,9.84623
86,0.120635,10.1585
87,0.106652,9.85689
88,0.109884,10.1397
89,0.114075,9.84643
90,0.115932,10.1842
91,0.103484,9.80969
92,0.118908,10.1912
93,0.119899,9.8206
94,0.12246,10.1552
95,0.108828,9.84108
96,0.110012,10.1507
97,0.109436,9.86393
98,0.109692,10.1255
99,0.120668,9.86383
100,0.147483,10.1398
101,0.129819,9.86143
102,0.146426,10.8894
103,0.171801,9.13084
104,0.227223,9.99224
105,0.141082,9.95532
106,0.196024,10.0656
107,0.153626,9.94188
108,0.51214,10.2037
109,0.202968,9.7927
110,0.136026,10.2264
111,0.147898,10.0341
112,0.14697,9.76428
113,0.147194,10.205
114,0.127323,9.78876
115,0.14921,10.1949
116,0.119068,9.80752
117,0.132634,10.0579
118,0.13273,9.93858
119,0.130427,10.1718
120,0.125755,9.831
121,0.133339,10.1716
122,0.122395,9.82777
123,0.131035,10.1861
124,0.126939,9.81433
125,0.129435,10.1602
126,0.125275,9.84022
127,0.128891,10.1856
128,0.120795,9.81334
129,0.139899,10.1845
130,0.125467,9.82236
131,0.139578,10.1697
132,0.130843,9.8295
133,0.144763,10.181
134,0.125372,9.81279
135,0.131419,10.2071
136,0.124443,9.8008
137,0.129915,10.1686
138,0.125659,9.82297
139,0.133498,10.1701
140,0.123067,9.83958
141,0.126779,10.1521
142,0.128827,9.83583
143,0.134619,10.1817
144,0.133659,9.81952
145,0.128731,10.1659
146,0.125371,9.83519
147,0.143227,10.1901
148,0.122108,9.80879
149,0.125435,10.1674
150,0.119003,9.84662
151,0.129595,10.1394
152,0.131483,9.85554
153,0.131483,10.1741
154,0.121052,9.82815
155,0.344626,9.98207
156,0.120411,10.0149
157,0.124123,10.15
158,0.121083,9.84262
159,0.129947,10.1585
160,0.125019,9.84255
161,0.124859,10.1398
162,0.122971,9.87151
163,0.131226,10.1446
164,0.120732,9.84258
165,0.138522,10.1572
166,0.11686,9.84633
167,0.34757,9.98492
168,0.124667,10.0103
169,0.132827,10.1589
170,0.123291,9.8439
171,0.129563,10.1654
172,0.129147,9.84121
173,0.123675,10.157
174,0.132123,9.83459
175,0.126395,10.1593
176,0.128219,9.83651
177,0.133755,10.1811
178,0.125371,9.83289
179,0.107612,9.98085
180,0.132923,10.012
181,0.129659,10.1706
182,0.117403,9.82556
183,0.125339,10.178
184,0.131642,9.82934
185,0.132411,10.0977
186,0.136059,9.89529
187,0.141531,10.9936
188,0.123419,9.01436
189,0.128347,10.1616
190,0.131963,9.83836
191,0.134939,10.1787
192,0.130491,9.81503
193,0.138395,10.1684
194,0.127483,9.83615
195,0.138074,10.1732
196,0.128507,9.83971
197,0.136251,10.1737
198,0.137402,9.82595
199,0.131418,10.1436
200,0.126971,9.84473
201,0.126235,10.1604
202,0.125819,9.843
203,0.139707,10.1685
204,0.121691,9.84127
205,0.135963,10.1877
206,0.126427,9.80662
207,0.136155,10.1886
208,0.128923,9.81456
209,0.136667,10.1663
210,0.125979,9.82691
211,0.132411,10.18
212,0.127611,9.81753
213,0.129467,10.1784
214,0.126523,9.82121
215,0.132026,10.1715
216,0.128859,9.82643
217,0.136762,10.169
218,0.125499,9.83763
219,0.138139,10.2025
220,0.129979,9.79574
221,0.131835,10.1687
222,0.125147,9.82367
223,0.133434,10.158
224,0.134138,9.84134
225,0.133883,10.1694
226,0.129435,9.84812
227,0.134971,10.152
228,0.126747,9.82828
229,0.134362,10.1705
230,0.128731,9.82995
231,0.133595,10.1859
232,0.114363,9.81347
233,0.130011,10.1844
234,0.133243,9.83939
235,0.132954,10.1485
236,0.126331,9.83081
237,0.101244,9.98696
238,0.131899,10.0136
239,0.134491,10.1642
240,0.138011,9.83894
241,0.344275,9.98104
242,0.127067,10.0177
243,0.109596,9.98005
244,0.138651,10.0164
245,0.112796,9.98639
246,0.131227,10.0152
247,0.135482,11.0395
248,0.132443,8.967
249,0.130715,10.1754
250,0.130299,9.82764
251,0.137531,10.19
252,0.134522,9.8006
253,0.123547,10.207
254,0.145242,9.79568
255,0.136282,10.1655
256,0.126299,9.83548
257,0.144442,11.3663
258,0.124283,8.62734
259,0.132027,10.177
260,0.127675,9.84198
261,0.15673,10.137
262,0.14425,9.85612
263,0.156858,10.1682
264,0.135738,9.83401
265,0.141306,10.1417
266,0.126011,9.8431
267,0.136475,10.9744
268,0.127163,9.03119
269,0.136699,10.1599
270,0.122236,9.83311
271,0.130811,10.2004
272,0.122523,9.80726
273,0.105115,9.979
274,0.131419,10.0199
275,0.127995,10.1552
276,0.123163,9.84044
277,0.145115,10.1468
278,0.121051,9.86505
279,0.137339,10.1682
280,0.123931,9.82614
281,0.132443,10.1562
282,0.122875,9.83868
283,0.146586,10.1662
284,0.14745,9.84268
285,0.132731,10.122
286,0.127259,9.87529
287,0.145722,10.1661
288,0.123451,9.83836
289,0.139899,10.1514
290,0.132602,9.84835
291,0.114396,9.97599
292,0.136155,10.0319
293,0.135355,10.1443
294,0.121244,9.8343
295,0.136795,10.1919
296,0.119835,9.82544
297,0.132219,10.1448
298,0.125467,9.84892
299,0.112348,9.9765
300,0.129467,10.0155
301,0.109884,9.98716
302,0.148026,10.025
303,0.110396,9.97266
304,0.124923,10.0325
305,0.104732,9.97023
306,0.136474,10.0266
307,0.13865,10.1175
308,0.131387,9.87618
309,0.133082,10.2031
310,0.131451,9.80025
311,0.14201,10.1382
312,0.131547,9.85839
313,0.137147,10.168
314,0.126715,9.83164
315,0.111099,9.9796
316,0.133115,10.0265
317,0.131579,10.1294
318,0.128859,9.86892
319,0.114332,9.98021
320,0.121084,10.0133
321,0.134843,10.1671
322,0.123132,9.83347
323,0.134042,10.1572
324,0.140155,9.84313
325,0.132219,10.1537
326,0.124539,9.84396
327,0.134843,10.147
